gene	conMean	treatMean	logFC	pValue	fdr
CTA-384D8.34	1.316868845	2.682231064	1.365362219	2.81E-57	9.52E-57
HDC	3.300900613	1.191388392	-2.109512221	3.84E-87	3.02E-86
PTPN21	3.79823656	2.081060572	-1.717175989	1.23E-121	7.31E-120
WNT3A	1.918575666	0.298903203	-1.619672462	2.70E-118	1.16E-116
HIF3A	4.816323607	1.686448984	-3.129874622	1.59E-105	2.73E-104
INPP5K	5.218537489	4.12842994	-1.090107549	7.36E-116	2.60E-114
FUT2	0.7668643	3.277575625	2.510711325	1.87E-122	1.24E-120
CHIT1	2.838956124	4.208213026	1.369256903	2.82E-22	4.76E-22
ALG1L	0.603538755	3.098222846	2.494684091	4.40E-99	5.51E-98
CREB5	2.603708393	1.371387608	-1.232320785	1.05E-76	6.03E-76
RASEF	1.744768949	2.921417118	1.176648168	4.43E-68	1.97E-67
RASSF1	5.409000182	3.960439171	-1.448561011	1.09E-114	3.42E-113
FAM150B	4.269323327	0.73956406	-3.529759267	2.37E-131	1.32E-128
F2RL1	1.726177463	3.10634907	1.380171606	5.46E-73	2.77E-72
FGFR1	5.666309637	3.874164233	-1.792145404	8.40E-93	8.06E-92
CCDC69	5.150535045	3.548861761	-1.601673284	2.14E-115	7.24E-114
CKAP2L	0.442605242	1.724968915	1.282363673	1.76E-102	2.57E-101
ACCS	4.323601739	3.099941743	-1.223659996	6.19E-56	2.04E-55
C1GALT1	2.872094672	3.886411422	1.01431675	2.27E-67	9.95E-67
TFPI2	2.326573665	4.180376316	1.853802651	9.42E-27	1.73E-26
MRC1	4.964913724	3.478060998	-1.486852726	1.87E-48	5.25E-48
PRDM6	1.989293655	0.892843504	-1.096450151	2.16E-95	2.28E-94
LRRC8D	2.300235872	3.327087982	1.02685211	6.97E-105	1.16E-103
CLSPN	0.538407708	1.543101135	1.004693427	4.57E-81	2.99E-80
C11orf21	2.300289132	0.75939401	-1.540895122	3.71E-111	9.25E-110
RYR2	2.139518743	0.567178371	-1.572340372	1.32E-111	3.41E-110
LDLR	5.673523809	4.426996894	-1.246526915	6.40E-65	2.65E-64
MUC16	0.881932132	2.420898684	1.538966552	2.50E-31	5.01E-31
PDK4	6.15958397	3.185318207	-2.974265762	7.78E-108	1.55E-106
RP11-473M20.9	3.248183834	0.87615798	-2.372025854	2.25E-123	1.70E-121
RP11-284F21.10	0.310837757	1.544159209	1.233321452	6.00E-53	1.85E-52
IGHV1-69	1.708754456	3.939294911	2.230540455	4.87E-42	1.19E-41
YWHAZP5	0.479392209	1.994311873	1.514919663	7.14E-109	1.52E-107
ENGASE	4.599634644	3.223131862	-1.376502782	2.01E-64	8.17E-64
CTD-2619J13.13	0.559137835	1.783999032	1.224861197	1.16E-50	3.41E-50
SLIT2	4.537758364	1.948892005	-2.588866359	9.11E-127	1.38E-124
DPYSL2	6.011486779	4.770723409	-1.24076337	2.35E-90	2.06E-89
SAC3D1	2.314065764	3.389960812	1.075895048	1.95E-83	1.36E-82
C10orf10	7.646782341	5.456079413	-2.190702929	3.12E-84	2.23E-83
RP11-468E2.1	2.021683163	3.27593757	1.254254407	1.29E-53	4.03E-53
4-Sep	4.97303223	2.702011769	-2.27102046	5.58E-128	1.13E-125
MUSTN1	3.929456151	1.076239455	-2.853216697	1.03E-124	1.02E-122
RP11-302L19.3	1.826254662	0.349571886	-1.476682776	6.49E-108	1.30E-106
TPST2	4.98825087	3.986713855	-1.001537015	2.59E-98	3.12E-97
TMEM45B	2.493023714	4.542873975	2.049850262	4.22E-98	5.00E-97
WTIP	3.715389988	2.662554712	-1.052835275	6.79E-65	2.81E-64
RP11-609N14.4	2.180131752	0.52074093	-1.659390822	2.42E-114	7.39E-113
LY6D	0.401359221	1.971180489	1.569821267	1.61E-32	3.29E-32
ERO1L	3.777210648	5.432949896	1.655739248	1.47E-109	3.29E-108
TIMM23	4.356426495	5.43289896	1.076472465	2.42E-114	7.39E-113
GFOD1	2.872488141	1.056591985	-1.815896156	2.71E-125	3.00E-123
LINC00968	2.241309453	0.430886146	-1.810423307	2.34E-117	9.23E-116
RBM5	6.57990752	5.206706534	-1.373200986	4.21E-88	3.43E-87
EPHX3	1.307956631	3.057099419	1.749142788	3.38E-81	2.22E-80
SNCA	3.522775615	1.809465498	-1.713310118	6.07E-110	1.41E-108
WASF3	2.657010562	1.308443831	-1.348566731	2.46E-105	4.20E-104
PRICKLE2	3.077649878	1.629929754	-1.447720125	4.53E-118	1.91E-116
FAM65A	5.940952206	4.032452597	-1.908499609	2.39E-123	1.79E-121
CH17-472G23.4	2.188114114	0.82989594	-1.358218174	7.48E-94	7.42E-93
FOS	7.93316566	6.754165433	-1.179000227	9.95E-27	1.83E-26
CLDN6	0.132712244	1.544873016	1.412160772	4.62E-50	1.34E-49
AC093495.4	2.762744739	1.475443701	-1.287301038	4.42E-88	3.60E-87
RP11-574K11.24	3.086127414	1.768834542	-1.317292872	2.83E-67	1.24E-66
MAFF	5.098079964	3.596464223	-1.501615741	1.03E-88	8.57E-88
SLC39A8	6.114686881	4.857564218	-1.257122663	1.44E-50	4.22E-50
RP11-132A1.4	0.371752595	1.37750216	1.005749565	1.21E-72	6.10E-72
SLC1A3	3.297555273	2.220194641	-1.077360633	4.15E-49	1.18E-48
DNAH1	2.957699224	1.333478659	-1.624220564	5.15E-98	6.09E-97
MRPL13	3.968985533	5.154169952	1.185184419	2.28E-103	3.49E-102
NPPA	1.557525609	0.185326837	-1.372198772	4.85E-88	3.95E-87
LINC01296	0.661246253	2.129131384	1.467885131	3.52E-63	1.39E-62
LA16c-390E6.4	1.809781707	0.651012382	-1.158769325	2.47E-66	1.06E-65
FCGR3B	3.58861828	1.680283397	-1.908334882	8.39E-87	6.51E-86
TSPYL2	5.822828669	3.563801256	-2.259027413	4.43E-106	7.84E-105
TM4SF4	0.565608658	1.818032027	1.252423369	9.31E-10	1.23E-09
KIAA1324L	3.82061761	2.478639629	-1.341977981	6.26E-73	3.17E-72
CBR1	5.101023033	6.34287933	1.241856297	1.97E-57	6.70E-57
IGLV7-43	2.330566183	3.895042811	1.564476627	1.06E-33	2.21E-33
TMEM198B	4.544517727	3.075190921	-1.469326806	2.83E-90	2.48E-89
MDK	5.140287523	8.34490552	3.204617997	6.02E-121	3.32E-119
PTRF	7.22282524	5.297762213	-1.925063027	2.57E-121	1.48E-119
HLA-E	9.652320215	8.249089607	-1.403230609	6.78E-106	1.19E-104
LSR	4.668452999	6.923717946	2.255264946	2.00E-124	1.86E-122
LPAR6	4.404170682	3.249422038	-1.154748643	1.87E-69	8.64E-69
LINC01088	1.765646009	0.685470247	-1.080175762	4.90E-73	2.49E-72
ACE	5.006161017	3.86227572	-1.143885296	4.24E-48	1.18E-47
PSMC1P1	3.384564754	4.413684408	1.029119654	2.38E-81	1.57E-80
AC124789.1	2.182757952	0.868933393	-1.313824559	2.87E-86	2.19E-85
C9orf24	2.867079516	1.82727113	-1.039808386	1.88E-14	2.74E-14
APCDD1	3.809210948	2.725105824	-1.084105124	1.48E-50	4.33E-50
PLEKHG6	1.145189989	2.546234843	1.401044854	5.65E-92	5.29E-91
PPARGC1B	1.741785027	0.615575543	-1.126209484	3.76E-114	1.13E-112
FAM153A	1.773629607	0.611619366	-1.162010241	5.88E-71	2.83E-70
SERTM1	1.301433499	0.15384063	-1.147592869	2.11E-107	4.04E-106
ARRB2	6.739674314	5.108866433	-1.630807881	1.25E-121	7.46E-120
EGLN3	2.698671497	4.211207949	1.512536452	1.23E-45	3.26E-45
SH3GL3	1.213257962	0.210365009	-1.002892953	1.39E-107	2.71E-106
TAZ	5.317563918	4.297713097	-1.01985082	9.60E-61	3.56E-60
CNPY2	5.842438359	7.097177917	1.254739557	2.33E-119	1.11E-117
NPIPA3	2.671400656	1.526092466	-1.14530819	1.48E-65	6.23E-65
PPP2R5B	4.054884528	3.006498541	-1.048385987	8.14E-99	1.00E-97
REM1	1.809333287	0.717170818	-1.09216247	3.29E-85	2.43E-84
MTX2	3.692954932	4.997535418	1.304580485	2.79E-127	4.80E-125
GSDMC	0.528830756	1.777667263	1.248836507	2.90E-68	1.30E-67
GCOM1	1.681210701	0.51501327	-1.166197431	2.64E-93	2.58E-92
PDIK1L	1.364132433	2.435506479	1.071374046	1.72E-111	4.39E-110
RGS17	0.257832088	1.484840453	1.227008365	9.32E-89	7.77E-88
NPEPL1	5.138284849	4.137764321	-1.000520528	5.71E-63	2.24E-62
TANC1	4.469359361	3.188242372	-1.281116989	6.55E-107	1.22E-105
SLC7A7	5.027818591	3.983549162	-1.044269428	1.47E-60	5.44E-60
RP11-736K20.4	1.712524593	0.371767391	-1.340757202	1.73E-121	1.02E-119
CLEC3B	7.024085323	3.589231651	-3.434853672	3.20E-121	1.81E-119
CLEC7A	4.830433795	3.43118873	-1.399245065	1.26E-71	6.16E-71
SULF1	3.204557396	4.890017316	1.68545992	3.17E-66	1.36E-65
SDHAP1	4.342562246	3.169106602	-1.173455644	7.54E-71	3.62E-70
STARD9	3.110477734	0.873405986	-2.237071747	1.29E-125	1.51E-123
ARRDC2	5.62184174	4.185021271	-1.436820469	4.97E-89	4.19E-88
CDH1	4.183344993	6.377976229	2.194631235	5.38E-116	1.91E-114
KIFC1	1.335598128	3.129706081	1.794107953	3.58E-99	4.50E-98
MCAM	6.360378874	4.598398763	-1.761980111	9.69E-95	9.92E-94
RP11-67C2.2	1.692075488	0.381717541	-1.310357947	5.68E-95	5.89E-94
TCEAL7	2.279355066	1.127188565	-1.152166501	2.53E-99	3.20E-98
FNDC1	0.72356586	2.162614394	1.439048533	1.39E-75	7.68E-75
ADAMTS4	3.688533853	1.691664298	-1.996869555	1.91E-50	5.58E-50
C11orf1	3.708503667	4.833979648	1.125475981	2.17E-83	1.51E-82
SKA3	0.41651865	1.685367636	1.268848986	7.83E-109	1.66E-107
EFCC1	3.316905337	1.289271707	-2.02763363	1.61E-117	6.42E-116
RNF144B	4.174355187	2.73156659	-1.442788596	9.09E-106	1.58E-104
CNTNAP1	2.780371064	1.599559177	-1.180811887	6.91E-82	4.61E-81
RP11-325K4.2	2.219170365	1.201922711	-1.017247654	1.73E-62	6.70E-62
EGR1	6.529632919	5.522655727	-1.006977192	2.04E-20	3.33E-20
TRHDE-AS1	1.286607973	0.142050188	-1.144557785	9.50E-119	4.25E-117
ID3	6.645130175	5.185980544	-1.459149631	4.47E-82	3.00E-81
NUF2	0.837309319	2.61880521	1.781495891	2.19E-101	3.04E-100
CD300C	2.503604306	1.490285808	-1.013318498	2.44E-64	9.90E-64
C1GALT1C1	3.452609265	4.463298275	1.01068901	9.31E-105	1.54E-103
ERN2	0.794927384	2.000839806	1.205912422	4.95E-19	7.86E-19
BET1P1	1.619770623	0.212428982	-1.407341641	1.54E-113	4.45E-112
APOBEC3A	3.399014088	1.113721531	-2.285292557	2.75E-104	4.43E-103
RTEL1-TNFRSF6B	2.714232779	1.485689347	-1.228543432	3.32E-66	1.42E-65
LYVE1	4.863862956	1.6607963	-3.203066656	2.81E-129	7.17E-127
RP5-857K21.6	4.932106107	6.061251624	1.129145517	1.22E-39	2.87E-39
HYAL2	6.982057904	5.315821744	-1.66623616	8.07E-116	2.84E-114
ITGA2B	2.314114895	0.760297957	-1.553816939	5.28E-77	3.05E-76
GPR146	4.18353932	1.939263786	-2.244275534	5.29E-122	3.28E-120
MMP28	4.554528796	3.248313494	-1.306215302	1.58E-30	3.12E-30
ARAP2	3.245301778	2.217160893	-1.028140885	7.94E-82	5.29E-81
CEP55	0.786073643	2.879443541	2.093369898	1.51E-115	5.20E-114
SIN3B	5.215989044	3.673925365	-1.54206368	8.23E-86	6.19E-85
PCAT19	4.171037214	1.302323716	-2.868713498	6.08E-132	5.07E-129
CTB-13F3.1	2.406780335	0.776346572	-1.630433763	1.82E-91	1.67E-90
VPS72	4.279178733	5.462244028	1.183065296	9.16E-126	1.11E-123
MUC13	0.292976158	2.247999496	1.955023339	2.76E-44	7.11E-44
CTD-2537I9.12	3.646624871	1.922948773	-1.723676098	9.74E-73	4.91E-72
DPT	4.783755653	3.304158239	-1.479597415	3.62E-54	1.15E-53
ANO2	2.382314551	0.381833915	-2.000480636	4.62E-126	6.02E-124
DOLPP1	2.479656045	3.555361681	1.075705637	2.78E-109	6.11E-108
GAB1	3.384610966	2.278184901	-1.106426066	8.23E-89	6.89E-88
PQLC2L	2.440158844	1.412032374	-1.028126471	7.17E-53	2.21E-52
YWHAZ	7.210628381	8.459907255	1.249278874	1.74E-120	9.14E-119
LTBP2	5.529235006	4.388334179	-1.140900827	2.51E-49	7.17E-49
WHAMMP3	1.766805241	0.731645467	-1.035159774	8.32E-107	1.54E-105
CDH13	4.264612605	2.064242742	-2.200369863	4.35E-115	1.42E-113
PARP15	2.691993813	1.53896317	-1.153030643	2.60E-63	1.03E-62
LYPLA1	4.073256507	5.457996609	1.384740102	6.21E-110	1.44E-108
CXCL3	3.862716109	2.239664039	-1.62305207	7.48E-62	2.85E-61
RP11-203J24.9	3.889163174	1.722883861	-2.166279313	3.30E-95	3.46E-94
MMP12	0.429893128	3.205169255	2.775276127	1.24E-107	2.44E-106
SAMSN1	4.163519215	3.005449727	-1.158069488	1.86E-60	6.84E-60
KPNA7	0.284391017	1.329521989	1.045130972	1.83E-96	2.03E-95
ASPHD1	1.090756347	2.65078405	1.560027703	5.90E-66	2.50E-65
THNSL1	0.839824885	1.881712402	1.041887517	3.35E-115	1.10E-113
RASAL3	3.833685571	2.437756641	-1.39592893	1.51E-72	7.57E-72
CD27	2.02207818	3.329857474	1.307779294	1.94E-55	6.34E-55
FBXO16	1.029693436	2.041162739	1.011469303	5.10E-82	3.41E-81
GCNT3	0.386429061	3.210707583	2.824278521	8.69E-117	3.29E-115
RP11-274B21.4	4.491771141	3.245588278	-1.246182863	8.23E-63	3.22E-62
KLF13	5.564898769	4.061651369	-1.5032474	5.29E-116	1.88E-114
TFEC	2.958492006	1.731435194	-1.227056812	6.52E-76	3.63E-75
IGHV4-34	3.160819727	5.246616513	2.085796786	1.07E-45	2.83E-45
MT1M	5.641256746	1.923270043	-3.717986704	3.20E-114	9.68E-113
BUB1	1.010375523	2.69173377	1.681358246	1.03E-101	1.45E-100
CXCL10	2.670946806	4.254888192	1.583941386	1.38E-36	3.05E-36
ITM2C	4.97035871	6.034663394	1.064304685	3.41E-69	1.57E-68
MANEAL	1.241626944	3.22701396	1.985387017	1.18E-108	2.48E-107
KLF9	5.424557997	3.263163823	-2.161394174	2.41E-117	9.49E-116
ST6GALNAC5	2.678919363	1.650754344	-1.028165019	1.87E-58	6.52E-58
GPR87	0.217255254	1.973058713	1.755803459	2.31E-65	9.63E-65
GIMAP5	5.511694363	3.297343188	-2.214351175	1.01E-119	4.93E-118
CCDC43	2.842640719	3.895165868	1.052525149	6.90E-115	2.21E-113
TGFBR2	6.344255276	5.023135532	-1.321119743	5.00E-99	6.23E-98
MYZAP	4.434214964	1.53586346	-2.898351504	1.57E-127	2.86E-125
PF4	2.392955951	0.511813153	-1.881142798	8.49E-99	1.04E-97
CRYM	1.772697503	3.151692975	1.378995472	4.92E-27	9.11E-27
HNRNPU-AS1	4.250733266	2.795591866	-1.455141399	6.28E-60	2.29E-59
TRIP10	6.45023281	4.898356958	-1.551875852	9.47E-95	9.70E-94
RAMP2-AS1	1.674615208	0.435928083	-1.238687126	6.91E-107	1.28E-105
SLC39A4	4.341414251	5.985392658	1.643978407	4.21E-98	4.99E-97
UBE2T	1.76881031	4.28797481	2.519164501	8.75E-122	5.32E-120
DIO3OS	4.149266896	0.990001953	-3.159264943	1.72E-114	5.33E-113
PPP1R14D	0.15820685	2.963761774	2.805554924	1.57E-118	6.86E-117
ELMO1	4.568471975	3.237271724	-1.331200251	1.53E-96	1.70E-95
FBXL7	2.818627428	1.499170946	-1.319456482	7.49E-105	1.24E-103
TNS2	6.927007188	4.395767855	-2.531239333	5.09E-123	3.65E-121
KIAA0408	2.934158123	1.420592752	-1.513565371	3.44E-76	1.94E-75
IL1RL1	5.835938216	1.01894919	-4.816989026	4.14E-124	3.57E-122
JDP2	5.22784649	4.203830455	-1.024016035	4.20E-82	2.82E-81
GMDS	3.329088849	4.555453241	1.226364393	2.32E-96	2.56E-95
NCF1	4.336763779	3.13869894	-1.198064839	3.79E-54	1.20E-53
SCEL	4.892713091	3.602488573	-1.290224519	1.12E-41	2.72E-41
OLR1	4.994231647	3.333317998	-1.660913649	7.04E-57	2.36E-56
IDH2	5.05920023	6.389072877	1.329872647	7.08E-106	1.24E-104
TRUB1	1.93424196	3.039113588	1.104871627	8.47E-106	1.48E-104
SPC25	0.751188106	2.09046687	1.339278765	2.05E-93	2.01E-92
CELF6	2.040964253	0.598589292	-1.44237496	2.49E-92	2.35E-91
TSPAN9	4.679675674	3.520164472	-1.159511202	1.05E-95	1.12E-94
VSIG4	6.258859357	4.421847739	-1.837011618	5.94E-65	2.46E-64
SLC6A16	2.00310825	0.752873888	-1.250234362	5.56E-102	7.98E-101
RP11-371A19.2	1.441522324	0.110508754	-1.33101357	9.86E-120	4.86E-118
CYP27A1	5.799225587	4.543416074	-1.255809513	9.61E-64	3.85E-63
GGCT	4.42028107	5.943297085	1.523016016	6.03E-118	2.48E-116
POC1A	1.309013725	2.460798711	1.151784985	2.48E-97	2.86E-96
KDELR2	5.912252804	6.971843707	1.059590902	2.58E-107	4.92E-106
CTD-3193O13.11	0.762743199	2.073985411	1.311242212	1.53E-73	7.89E-73
DUOX1	5.9493604	2.699340127	-3.250020273	6.60E-112	1.72E-110
IGHV3-33	4.091361667	6.265901515	2.174539848	4.04E-42	9.92E-42
MAGED4	0.755171169	2.204086303	1.448915134	1.21E-59	4.37E-59
GPR162	4.009872082	1.711782121	-2.29808996	5.56E-111	1.37E-109
NFKBIA	8.215476779	7.113001696	-1.102475083	5.56E-61	2.08E-60
IGKV2-28	5.533409448	7.596034311	2.062624863	2.22E-43	5.61E-43
LILRA1	1.71361	0.565741532	-1.147868468	1.06E-104	1.75E-103
ALDH18A1	3.355488231	4.984279707	1.628791476	3.39E-130	1.32E-127
PDGFRA	4.977031854	2.932339367	-2.044692487	4.97E-97	5.65E-96
CTD-2026K11.1	1.490479074	0.288382887	-1.202096187	3.30E-66	1.41E-65
NOTCH4	5.183938663	2.419013491	-2.764925171	1.59E-129	4.57E-127
PDZRN3	3.544754261	1.970621702	-1.574132559	4.21E-107	7.93E-106
S100A8	8.566203549	5.160318711	-3.405884839	1.64E-97	1.90E-96
SVEP1	3.770935304	1.233309075	-2.537626229	8.25E-126	1.01E-123
BEND7	3.20485586	2.137079519	-1.067776341	6.40E-62	2.44E-61
GFPT1	3.335924705	4.394243383	1.058318679	9.22E-92	8.55E-91
CLDN10	1.183471972	2.925535184	1.742063211	3.73E-19	5.92E-19
SHROOM4	3.51158283	1.670719936	-1.840862895	3.36E-119	1.57E-117
AOC1	0.300450389	2.68615609	2.385705701	9.86E-96	1.06E-94
TMEM106B	2.937706801	4.643799939	1.706093138	1.81E-128	4.06E-126
PLEKHH2	4.500426896	1.918702249	-2.581724648	3.19E-111	8.00E-110
LGALS3BP	7.442511124	8.95014117	1.507630047	2.66E-101	3.68E-100
SEPT7P2	3.706523963	2.449932621	-1.256591342	4.07E-81	2.66E-80
MAN1C1	3.687704632	2.527992261	-1.159712371	1.75E-79	1.09E-78
RNF166	5.11814272	3.637744578	-1.480398141	1.39E-94	1.41E-93
ACVRL1	6.206133277	3.161015551	-3.045117726	2.44E-133	7.46E-130
BMX	1.620281865	0.451689286	-1.168592579	8.97E-113	2.46E-111
GABBR1	4.788427049	2.682811902	-2.105615147	3.00E-88	2.45E-87
FEZF1	0.049836737	1.158734596	1.108897858	5.37E-96	5.82E-95
MSI2	3.02876943	4.091429047	1.062659617	4.40E-98	5.21E-97
IL7R	5.456939204	3.333505648	-2.123433556	1.63E-106	2.95E-105
LRIF1	2.147087783	3.264153903	1.11706612	1.38E-95	1.47E-94
MFGE8	7.000118032	5.638436834	-1.361681198	1.52E-81	1.01E-80
SCN4B	2.750440503	1.099903139	-1.650537364	1.18E-93	1.17E-92
AMICA1	5.022563045	3.533583627	-1.488979419	1.33E-79	8.35E-79
GRHL2	1.856703804	3.416169627	1.559465823	2.40E-110	5.71E-109
PLCD1	4.218234691	3.017385401	-1.20084929	4.34E-95	4.52E-94
SYN2	1.314032126	0.171455126	-1.142576999	9.85E-124	8.04E-122
CTB-31O20.4	1.718854684	0.576113713	-1.142740971	7.09E-88	5.74E-87
RASGEF1B	3.958135637	2.859894222	-1.098241416	3.00E-87	2.37E-86
DSC2	1.803914406	3.10266958	1.298755174	7.62E-75	4.11E-74
MEG3	4.667086969	2.432784641	-2.234302328	1.76E-64	7.16E-64
NID1	5.121754801	3.651455436	-1.470299365	6.55E-78	3.88E-77
CLEC12A	3.474258633	1.73729133	-1.736967303	2.03E-91	1.86E-90
TBX5	3.736515504	1.625001723	-2.111513781	6.52E-123	4.62E-121
PKIB	1.458521735	3.190397233	1.731875497	1.28E-78	7.75E-78
NEGR1	2.194038048	0.739388689	-1.454649359	3.24E-106	5.77E-105
FIGF	4.644167255	1.273579648	-3.370587607	1.57E-123	1.24E-121
PIK3R1	4.491207516	2.956453252	-1.534754264	7.71E-109	1.64E-107
UVSSA	3.296902478	2.166533597	-1.130368881	4.78E-58	1.65E-57
FAM178B	0.556852296	1.715423596	1.158571301	4.31E-63	1.70E-62
RP11-693N9.2	4.172647747	2.581711748	-1.590935999	1.07E-92	1.02E-91
ACSS2	5.753432341	4.750951072	-1.002481269	1.12E-68	5.05E-68
TMEM190	2.478963724	1.451457641	-1.027506083	1.42E-16	2.16E-16
TLR4	3.385021412	2.061198523	-1.323822889	7.71E-92	7.18E-91
GGH	2.713944375	3.983561041	1.269616666	9.54E-53	2.93E-52
STXBP6	4.145651875	1.253351587	-2.892300288	2.74E-125	3.01E-123
RP11-157P1.4	2.925345295	1.489206269	-1.436139027	3.48E-78	2.08E-77
SFN	4.989448766	6.784389482	1.794940716	2.51E-65	1.05E-64
APOLD1	3.518555223	2.180089603	-1.33846562	4.24E-62	1.62E-61
KIF20A	0.775274337	2.661902249	1.886627913	1.90E-109	4.24E-108
AHSA2	5.512999726	3.892808165	-1.62019156	1.06E-71	5.21E-71
NIP7	2.934369907	4.058553442	1.124183535	4.47E-99	5.59E-98
CASP1	5.380729085	4.314662478	-1.066066606	1.27E-59	4.58E-59
MICU3	1.904294937	0.836763311	-1.067531626	1.55E-106	2.81E-105
KDF1	2.115001866	3.64131376	1.526311894	3.16E-117	1.23E-115
MAPKBP1	3.040829623	1.967368084	-1.073461539	1.24E-96	1.39E-95
RPL23AP1	2.574743007	0.981744383	-1.592998624	3.10E-106	5.54E-105
NTNG1	1.826189339	0.523055546	-1.303133793	9.88E-96	1.06E-94
C5orf45	4.678109812	3.41787574	-1.260234071	1.15E-77	6.74E-77
ICAM2	6.014106101	4.407687996	-1.606418105	7.25E-117	2.75E-115
PKHD1L1	2.759692876	0.813270605	-1.946422271	4.04E-109	8.76E-108
ITGAL	4.289282572	3.116997671	-1.172284902	3.70E-59	1.32E-58
RP11-1024P17.1	1.860022642	0.564114911	-1.295907732	2.01E-127	3.59E-125
GOLGA8N	2.890994165	1.549307888	-1.341686277	1.28E-94	1.31E-93
CTB-79E8.3	2.458636956	0.498643473	-1.959993483	1.72E-79	1.07E-78
UNC5CL	1.342358974	2.365312688	1.022953715	1.16E-47	3.19E-47
WNT3	0.83297777	1.849567038	1.016589268	7.75E-87	6.02E-86
AP001189.4	2.119035596	0.193643645	-1.925391951	1.24E-125	1.47E-123
PRKG1	2.632676166	1.267702568	-1.364973598	2.55E-113	7.28E-112
SLX1A-SULT1A3	3.187643856	2.096457851	-1.091186005	4.10E-50	1.19E-49
SGCA	4.483734393	1.872985953	-2.61074844	5.82E-126	7.34E-124
FAM153C	1.669740708	0.417782459	-1.251958249	1.46E-83	1.02E-82
RP11-326C3.15	1.522055953	0.218861603	-1.30319435	4.67E-95	4.87E-94
FOXD3-AS1	0.077545195	1.14435108	1.066805886	2.98E-78	1.78E-77
IL16	4.362878319	3.070965332	-1.291912987	2.55E-84	1.82E-83
MCM10	0.358753627	1.465653758	1.106900131	1.06E-94	1.09E-93
SOX17	2.801615043	0.856390046	-1.945224997	5.62E-126	7.17E-124
CYP3A5	3.643077975	1.579638039	-2.063439936	3.55E-74	1.87E-73
AC008268.1	2.340574766	1.330913393	-1.009661373	3.68E-24	6.43E-24
PMP22	7.122480833	5.164114203	-1.958366629	2.13E-125	2.41E-123
HPRT1	3.613281252	4.733883285	1.120602033	4.28E-96	4.66E-95
MIB2	5.232418067	3.7425363	-1.489881766	7.72E-75	4.17E-74
THBD	5.345108419	3.102264925	-2.242843494	6.43E-119	2.92E-117
ARHGEF17	5.285140742	3.544918205	-1.740222537	6.62E-106	1.16E-104
PPAP2C	2.776552529	5.97359729	3.197044761	1.46E-122	9.97E-121
P2RY1	2.463283421	0.831986352	-1.631297069	4.26E-126	5.58E-124
PILRB	4.369887205	3.187642109	-1.182245097	6.94E-48	1.92E-47
SEMA3F	4.792241301	3.429618065	-1.362623235	3.04E-76	1.72E-75
SLMO2	4.196958523	5.315178371	1.118219849	7.26E-101	9.81E-100
ITLN2	3.739048807	0.726359936	-3.012688871	1.79E-104	2.91E-103
SUSD2	5.976128084	4.36100294	-1.615125144	3.82E-34	8.05E-34
CTD-2303H24.2	2.594866745	1.431272587	-1.163594158	1.78E-50	5.20E-50
LINC00467	1.63080106	3.185170053	1.554368993	1.32E-116	4.95E-115
SPTBN2	1.628404214	3.79892329	2.170519076	9.97E-122	6.00E-120
A2M	10.18818734	7.462913073	-2.72527427	3.63E-128	7.65E-126
PDCD6	5.67537519	6.870041256	1.194666066	5.08E-121	2.82E-119
FPR1	4.773098866	2.673132327	-2.099966539	3.26E-98	3.89E-97
ARHGAP24	3.611323281	2.487179036	-1.124144245	1.89E-96	2.09E-95
SIX4	0.548337084	1.829608703	1.281271619	5.80E-105	9.70E-104
AATK	3.572549582	1.571910946	-2.000638636	3.51E-103	5.34E-102
HBA2	9.625022756	4.877708385	-4.747314371	1.31E-113	3.82E-112
PNISR	6.18342577	4.517664188	-1.665761581	2.01E-87	1.60E-86
STK32A	1.175678819	2.431467946	1.255789127	1.08E-64	4.45E-64
FAM101B	3.374231148	2.336781698	-1.03744945	1.45E-81	9.59E-81
NCKAP1L	4.316869841	3.2249784	-1.091891441	6.41E-65	2.65E-64
RPP40	1.514031777	2.802883115	1.288851339	3.20E-97	3.66E-96
ACOT13	3.285604705	4.340375506	1.054770802	6.01E-88	4.87E-87
FOSB	4.51140425	3.252785997	-1.258618253	7.37E-13	1.04E-12
PSMB3	6.502523328	7.524196486	1.021673158	4.57E-99	5.70E-98
SLC39A6	3.41433491	4.508049559	1.09371465	6.24E-89	5.25E-88
RP11-793H13.10	2.790261354	1.168102269	-1.622159085	2.48E-95	2.61E-94
KL	1.785634173	0.61696439	-1.168669783	6.86E-101	9.27E-100
ZNF331	4.873702862	2.995090129	-1.878612734	1.63E-107	3.16E-106
RAC3	2.094991567	3.682869507	1.58787794	8.31E-85	6.04E-84
IGKV3D-20	1.51052667	3.525863951	2.015337281	4.91E-57	1.65E-56
ZDHHC11B	3.403078751	1.810896203	-1.592182548	9.49E-63	3.71E-62
KDELR3	3.057249169	4.781414089	1.72416492	4.09E-103	6.17E-102
PALM	4.36898447	2.69522983	-1.67375464	9.41E-102	1.33E-100
RP11-347C12.1	2.349835435	1.142921899	-1.206913536	9.61E-73	4.84E-72
PDE3B	2.773515808	1.595775959	-1.177739849	1.62E-82	1.10E-81
